Gene	Associated Phenotype(s)	Inheritance	Associated System(s)
APOA2	HYPERCHOLESTEROLEMIA, FAMILIAL, 1; FHCL1	AD	skinNailsHairSkin, cardiovascularHeart, headAndNeckEyes, laboratoryAbnormalities
UFSP2	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, DI ROCCO TYPE; SEMDDR | BEUKES HIP DYSPLASIA; BHD	AD	skeletalPelvis, skeletalSpine, skeletalHands, growthHeight, skeletalLimbs
ATHS	ATHEROSCLEROSIS SUSCEPTIBILITY; ATHS	AD	
10B	SPLIT-HAND/FOOT MALFORMATION 6; SHFM6	AR	skeletalFeet, skeletalHands
TTR	CARPAL TUNNEL SYNDROME; CTS1 | HYPERTHYROXINEMIA, DYSTRANSTHYRETINEMIC; DTTRH | AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED	AD	genitourinaryExternalGenitaliaMale, neurologicCentralNervousSystem, abdomenGastrointestinal, cardiovascularHeart, neurologicPeripheralNervousSystem, genitourinaryBladder, headAndNeckEyes, muscleSoftTissue
10A	SCHOPF-SCHULZ-PASSARGE SYNDROME; SSPS | DYSKINESIA, LIMB AND OROFACIAL, INFANTILE-ONSET; IOLOD | TOOTH AGENESIS, SELECTIVE, 4; STHAG4 | STRIATAL DEGENERATION, AUTOSOMAL DOMINANT 2; ADSD2 | ODONTOONYCHODERMAL DYSPLASIA; OODD	AR, AD	skinNailsHairSkin, neurologicCentralNervousSystem, abdomenGastrointestinal, headAndNeckMouth, headAndNeckTeeth, headAndNeckFace, skinNailsHairSkinHistology, headAndNeckEyes, skinNailsHairHair, neoplasia, skinNailsHairNails
CSNK2A1	OKUR-CHUNG NEURODEVELOPMENTAL SYNDROME; OCNDS	AD	growthOther, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, immunology, skeletal, headAndNeckMouth, cardiovascularHeart, skeletalSpine, muscleSoftTissue
SPTA1	PYROPOIKILOCYTOSIS, HEREDITARY; HPP | ELLIPTOCYTOSIS 2; EL2 | SPHEROCYTOSIS, TYPE 3; SPH3	AR, AD	hematology
CGF1	COGNITIVE FUNCTION 1, SOCIAL; CGF1	X-linked imprinting	
PAM16	SPONDYLOMETAPHYSEAL DYSPLASIA, MEGARBANE-DAGHER-MELKI TYPE; SMDMDM	AR	skeletalSkull, skeletalPelvis, headAndNeckHead, abdomenExternalFeatures, headAndNeckEars, growthHeight, headAndNeckFace, headAndNeckNose, neurologicCentralNervousSystem, headAndNeckNeck, skeletalLimbs, growthWeight, respiratory, skeletal, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, cardiovascularHeart, skeletalSpine
ADRB3	OBESITY	AD	growthWeight, metabolicFeatures
MYPN	CARDIOMYOPATHY, DILATED, 1KK; CMD1KK | NEMALINE MYOPATHY 11, AUTOSOMAL RECESSIVE; NEM11	AR, AD	growthOther, respiratory, cardiovascularHeart, skeletalFeet, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckFace, laboratoryAbnormalities, muscleSoftTissue, headAndNeckNeck
LSS	CATARACT 44; CTRCT44 | HYPOTRICHOSIS 14; HYPT14	AR	skinNailsHairHair, headAndNeckEyes
TMEM260	STRUCTURAL HEART DEFECTS AND RENAL ANOMALIES SYNDROME; SHDRA	AR	muscleSoftTissue, neurologicCentralNervousSystem, cardiovascularVascular, genitourinaryKidneys, cardiovascularHeart, headAndNeckHead
AP3D1	HERMANSKY-PUDLAK SYNDROME 10; HPS10	AR	skinNailsHairSkin, respiratory, immunology, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, headAndNeckFace, abdomenLiver, neurologicCentralNervousSystem, headAndNeckEyes, respiratoryLung, muscleSoftTissue, skeletalPelvis, skinNailsHairHair, abdomenSpleen
NMB	AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 3; PLCA3	AR	skinNailsHairSkin, skinNailsHairSkinHistology, skinNailsHairSkinElectronMicroscopy
FIBP	THAUVIN-ROBINET-FAIVRE SYNDROME; TROFAS	AR	growthOther, genitourinaryKidneys, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, cardiovascularVascular, skeletalLimbs, headAndNeckHead, neurologicCentralNervousSystem, immunology, headAndNeckMouth, cardiovascularHeart, genitourinaryUreters, neoplasia
HYT2	HYPERTENSION, ESSENTIAL	Multifactorial	cardiovascularVascular
CRTAP	OSTEOGENESIS IMPERFECTA, TYPE VII; OI7	AR	skeletalSkull, headAndNeckHead, skeletalPelvis, genitourinaryKidneys, headAndNeckEars, growthHeight, headAndNeckFace, headAndNeckEyes, prenatalManifestationsDelivery, skeletalLimbs, growthWeight, cardiovascularVascular, skeletal, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, headAndNeckTeeth, skeletalSpine
FAM123B	OSTEOPATHIA STRIATA WITH CRANIAL SCLEROSIS; OSCS	XLD	prenatalManifestationsAmnioticFluid, growthOther, chestBreasts, genitourinaryKidneys, abdomenGastrointestinal, skeletalSkull, headAndNeckEars, skeletalFeet, growthHeight, respiratoryLarynx, headAndNeckFace, headAndNeckNose, respiratory, skeletalHands, headAndNeckEyes, headAndNeckNeck, respiratoryNasopharynx, headAndNeckHead, abdomenExternalFeatures, neurologicCentralNervousSystem, cardiovascularVascular, skeletal, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, skeletalLimbs, cardiovascularHeart, skeletalSpine, muscleSoftTissue, voice
MYP8	MYOPIA 8; MYP8	Multifactorial	headAndNeckEyes
PRSS56	MICROPHTHALMIA, ISOLATED 6; MCOP6	AR	headAndNeckEyes
Contiguous gene syndrome involving deletion of 2.63 Mb on chromosome 5q12 {UMLS C4014135}	CHROMOSOME 5q12 DELETION SYNDROME	AD	growthOther, neurologicCentralNervousSystem, cardiovascularVascular, growthWeight, headAndNeckEars, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations
MYP2	MYOPIA 2, AUTOSOMAL DOMINANT; MYP2	AD	
MYP3	MYOPIA 3, AUTOSOMAL DOMINANT; MYP3	AD	headAndNeckEyes
MPV17	MITOCHONDRIAL DNA DEPLETION SYNDROME 6 (HEPATOCEREBRAL TYPE); MTDPS6 | CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2EE; CMT2EE	AR	skinNailsHairSkin, growthOther, growthWeight, abdomenGastrointestinal, skeletalFeet, growthHeight, neurologicPeripheralNervousSystem, abdomenLiver, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, neurologicCentralNervousSystem, immunology, skeletal, muscleSoftTissue, metabolicFeatures
BDMR	CHROMOSOME 2q37 DELETION SYNDROME	AD	skinNailsHairSkin, growthWeight, headAndNeckEars, skeletalFeet, growthHeight, neurologicPeripheralNervousSystem, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations, headAndNeckHead, neurologicCentralNervousSystem, skeletal, headAndNeckMouth, cardiovascularHeart
ITGA7	MUSCULAR DYSTROPHY, CONGENITAL, DUE TO INTEGRIN ALPHA-7 DEFICIENCY	AR	muscleSoftTissue, respiratory, neurologicCentralNervousSystem, laboratoryAbnormalities, skeletalSpine
MYP7	MYOPIA 7; MYP7	Multifactorial	headAndNeckEyes
MYP5	MYOPIA 5, AUTOSOMAL DOMINANT; MYP5	AD	headAndNeckEyes
COL4A6	DEAFNESS, X-LINKED 6; DFNX6 | LEIOMYOMATOSIS, DIFFUSE, WITH ALPORT SYNDROME; DL-ATS	XLR, X-linked	growthOther, respiratory, genitourinaryKidneys, abdomenGastrointestinal, headAndNeckEars, headAndNeckEyes, laboratoryAbnormalities, genitourinaryExternalGenitaliaFemale
COL4A5	LEIOMYOMATOSIS, DIFFUSE, WITH ALPORT SYNDROME; DL-ATS | ALPORT SYNDROME 1, X-LINKED; ATS1	XLD, X-linked	growthOther, respiratory, cardiovascularVascular, genitourinaryKidneys, abdomenGastrointestinal, headAndNeckEars, headAndNeckEyes, laboratoryAbnormalities, genitourinaryExternalGenitaliaFemale
GCCD3	GLUCOCORTICOID DEFICIENCY 3; GCCD3	AR	skinNailsHairSkin, metabolicFeatures, laboratoryAbnormalities
COL4A3	ALPORT SYNDROME 2, AUTOSOMAL RECESSIVE; ATS2 | HEMATURIA, BENIGN FAMILIAL; BFH | ALPORT SYNDROME 3, AUTOSOMAL DOMINANT; ATS3	AR, AD	cardiovascularVascular, genitourinaryKidneys, headAndNeckEars, headAndNeckEyes, laboratoryAbnormalities
MLLT10	LEUKEMIA, ACUTE MYELOID; AML	AD	hematology
THCYTX	THROMBOCYTHEMIA, X-LINKED; THCYTX	XLR	abdomenLiver, hematology, abdomenSpleen
GRN	FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, GRN-RELATED | CEROID LIPOFUSCINOSIS, NEURONAL, 11; CLN11	AR, AD	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities
HMCN1	MACULAR DEGENERATION, AGE-RELATED, 1; ARMD1	AD	headAndNeckEyes
NECAP	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 21; EIEE21	AR	muscleSoftTissue, prenatalManifestationsMovement, neurologicCentralNervousSystem, headAndNeckHead, abdomenGastrointestinal
GARS	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VA; HMN5A | CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2D; CMT2D	AD	skeletalFeet, skeletalSpine, neurologicPeripheralNervousSystem
CHST6	MACULAR DYSTROPHY, CORNEAL; MCD	AR	
TEX15	SPERMATOGENIC FAILURE 25; SPGF25	AR	genitourinaryInternalGenitaliaMale, endocrineFeatures
RPS6KA3	MENTAL RETARDATION, X-LINKED 19; MRX19 | COFFIN-LOWRY SYNDROME; CLS	XLD	skinNailsHairSkin, skeletalSkull, skeletalPelvis, headAndNeckEars, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, growthWeight, neurologicCentralNervousSystem, headAndNeckMouth, genitourinaryExternalGenitaliaMale, muscleSoftTissue, genitourinaryInternalGenitaliaFemale, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, growthHeight, headAndNeckEyes, skeletalLimbs, skinNailsHairNails, skeletal, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, headAndNeckTeeth, skeletalSpine, skinNailsHairHair
KCNH1	ZIMMERMANN-LABAND SYNDROME 1; ZLS1 | TEMPLE-BARAITSER SYNDROME; TMBTS	AD	skinNailsHairSkin, abdomenExternalFeatures, genitourinaryKidneys, headAndNeckEars, skeletalFeet, headAndNeckFace, abdomenLiver, skeletalHands, headAndNeckEyes, abdomenSpleen, growthWeight, neurologicCentralNervousSystem, cardiovascularVascular, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, cardiovascularHeart, skeletalSpine, muscleSoftTissue, headAndNeckNose, skinNailsHairNails, metabolicFeatures, skinNailsHairHair
KCNH2	LONG QT SYNDROME 2; LQT2	AD	cardiovascularHeart
SOD-1	AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1	AD	muscleSoftTissue, neurologicCentralNervousSystem, laboratoryAbnormalities
SLC26A3	DIARRHEA 1, SECRETORY CHLORIDE, CONGENITAL; DIAR1	AR	prenatalManifestationsAmnioticFluid, growthOther, cardiovascularVascular, genitourinaryKidneys, abdomenGastrointestinal, abdomenExternalFeatures, laboratoryAbnormalities, prenatalManifestationsDelivery, metabolicFeatures
NOG	STAPES ANKYLOSIS WITH BROAD THUMBS AND TOES | TARSAL-CARPAL COALITION SYNDROME; TCC | SYMPHALANGISM, PROXIMAL, 1A; SYM1A | MULTIPLE SYNOSTOSES SYNDROME 1; SYNS1 | BRACHYDACTYLY, TYPE B2; BDB2	AD	skinNailsHairSkin, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, headAndNeckNeck, skeletalLimbs, skinNailsHairNails, neurologicCentralNervousSystem, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, skeletalSpine
ATAD1	HYPEREKPLEXIA 4; HKPX4	AR	respiratory, skeletalFeet, skeletal, headAndNeckMouth, neurologicCentralNervousSystem, skeletalHands, headAndNeckEyes, skeletalSpine, muscleSoftTissue
KRT17	STEATOCYSTOMA MULTIPLEX | PACHYONYCHIA CONGENITA 2; PC2	AD	skinNailsHairSkin, voice, headAndNeckEyes, skinNailsHairHair, headAndNeckMouth, headAndNeckTeeth, skinNailsHairNails
SIGMAR1	SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 2; DSMA2 | AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE; ALS16	AR	neurologicCentralNervousSystem, skeletalHands, muscleSoftTissue, skeletalFeet
TCIRG1	OSTEOPETROSIS, AUTOSOMAL RECESSIVE 1; OPTB1	AR	skeletalSkull, skeletalPelvis, headAndNeckHead, headAndNeckEars, hematology, headAndNeckFace, abdomenLiver, headAndNeckEyes, laboratoryAbnormalities, skeletalLimbs, abdomenSpleen, growthWeight, neurologicCentralNervousSystem, skeletal, headAndNeckTeeth, skeletalSpine
GSM1	GENIOSPASM 1; GSM1	AD	
RAG1	OMENN SYNDROME | SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-POSITIVE | COMBINED CELLULAR AND HUMORAL IMMUNE DEFECTS WITH GRANULOMAS; CCHIDG	AR	skinNailsHairSkin, growthOther, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, hematology, headAndNeckNose, headAndNeckEyes, laboratoryAbnormalities, respiratoryLung, skeletalLimbs, abdomenSpleen, neurologicCentralNervousSystem, immunology, abdomenLiver, skinNailsHairSkinHistology, skinNailsHairHair
NR0B2	OBESITY	AD	growthWeight, metabolicFeatures
TMEM199	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIp; CDG2P	AR	muscleSoftTissue, abdomenLiver, neurologicCentralNervousSystem, hematology, laboratoryAbnormalities
MINPP1	THYROID CANCER, NONMEDULLARY, 2; NMTC2	AD	neoplasia
GBA	DEMENTIA, LEWY BODY; DLB | GAUCHER DISEASE, PERINATAL LETHAL | PARKINSON DISEASE, LATE-ONSET; PD | GAUCHER DISEASE, TYPE I | GAUCHER DISEASE, TYPE II | GAUCHER DISEASE, TYPE III | GAUCHER DISEASE, TYPE IIIC	AR, AD	skinNailsHairSkin, prenatalManifestationsAmnioticFluid, headAndNeckEars, skeletalFeet, respiratoryLarynx, headAndNeckFace, headAndNeckNose, neoplasia, prenatalManifestationsDelivery, abdomenSpleen, growthWeight, neurologicCentralNervousSystem, cardiovascularVascular, headAndNeckMouth, skinNailsHairSkinHistology, abdomenExternalFeatures, growthOther, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, growthHeight, hematology, prenatalManifestationsMovement, headAndNeckEyes, laboratoryAbnormalities, respiratoryLung, neurologicBehavioralPsychiatricManifestations, skeletalLimbs, respiratory, skeletal, chestExternalFeatures, abdomenLiver, genitourinaryBladder, prenatalManifestations, skeletalSpine
FOXC2	LYMPHEDEMA-DISTICHIASIS SYNDROME; LPHDST	AD	muscleSoftTissue, cardiovascularVascular, headAndNeckEyes, skeletalSpine, cardiovascularHeart, headAndNeckMouth, skinNailsHairNails
FOXC1	AXENFELD-RIEGER SYNDROME, TYPE 3; RIEG3 | ANTERIOR SEGMENT DYSGENESIS 3; ASGD3	AD	abdomenExternalFeatures, neurologicCentralNervousSystem, cardiovascularVascular, headAndNeckEars, headAndNeckTeeth, headAndNeckFace, cardiovascularHeart, headAndNeckNose, headAndNeckEyes
TCOF1	TREACHER COLLINS SYNDROME 1; TCS1	AD	headAndNeckEars, headAndNeckFace, headAndNeckMouth, headAndNeckEyes
GANAB	POLYCYSTIC KIDNEY DISEASE 3 WITH OR WITHOUT POLYCYSTIC LIVER DISEASE; PKD3	AD	abdomenLiver, cardiovascularVascular, genitourinaryKidneys
CD40LG	IMMUNODEFICIENCY WITH HYPER-IgM, TYPE 1; HIGM1	XLR	abdomenLiver, immunology, abdomenGastrointestinal, headAndNeckMouth, abdomenSpleen, hematology
SMAD9	PULMONARY HYPERTENSION, PRIMARY, 2; PPH2	AD	cardiovascularHeart, cardiovascularVascular
NUP133	GALLOWAY-MOWAT SYNDROME 8; GAMOS8 | NEPHROTIC SYNDROME, TYPE 18; NPHS18	AR	growthOther, neurologicCentralNervousSystem, cardiovascularVascular, genitourinaryKidneys, headAndNeckTeeth, headAndNeckFace, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, headAndNeckHead
GHRL	OBESITY	AD	growthWeight, metabolicFeatures
SMAD4	PANCREATIC CANCER | JUVENILE POLYPOSIS/HEREDITARY HEMORRHAGIC TELANGIECTASIA SYNDROME; JPHT | JUVENILE POLYPOSIS SYNDROME; JPS | MYHRE SYNDROME; MYHRS	AD	skinNailsHairSkin, skeletalSkull, skeletalPelvis, headAndNeckEars, skeletalFeet, respiratoryLarynx, abdomenPancreas, headAndNeckFace, headAndNeckNose, skeletalHands, neoplasia, headAndNeckNeck, headAndNeckHead, neurologicCentralNervousSystem, cardiovascularVascular, headAndNeckMouth, muscleSoftTissue, genitourinaryInternalGenitaliaFemale, growthOther, growthWeight, abdomenGastrointestinal, cardiovascularHeart, growthHeight, hematology, headAndNeckEyes, respiratoryLung, neurologicBehavioralPsychiatricManifestations, skeletalLimbs, voice, skeletal, genitourinaryInternalGenitaliaMale, chestRibsSternumClaviclesAndScapulae, skeletalSpine, skinNailsHairHair
PIK3CD	IMMUNODEFICIENCY 14; IMD14	AD	skinNailsHairSkin, respiratory, immunology, abdomenGastrointestinal, headAndNeckEars, neoplasia, respiratoryLung, abdomenSpleen
SMAD6	AORTIC VALVE DISEASE 2; AOVD2 | CRANIOSYNOSTOSIS 7; CRS7	Autosomal dominant (see qualifier below), AD	cardiovascularHeart, skeletalSkull, neurologicCentralNervousSystem, cardiovascularVascular, headAndNeckHead
KRT16	PALMOPLANTAR KERATODERMA, NONEPIDERMOLYTIC, FOCAL 1; FNEPPK1 | PACHYONYCHIA CONGENITA 1; PC1	AD	skinNailsHairSkin, skinNailsHairSkinElectronMicroscopy, headAndNeckMouth, genitourinaryExternalGenitaliaMale, skinNailsHairSkinHistology, skinNailsHairNails
VAPB	AMYOTROPHIC LATERAL SCLEROSIS 8; ALS8 | SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE; SMAFK	AD	muscleSoftTissue, neurologicCentralNervousSystem
ALMS1	ALSTROM SYNDROME; ALMS	AR	skinNailsHairSkin, skeletalSkull, chestBreasts, genitourinaryKidneys, headAndNeckEars, skeletalFeet, neurologic, growthHeight, abdomenLiver, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, growthWeight, cardiovascularVascular, endocrineFeatures, skeletal, respiratoryAirways, headAndNeckTeeth, cardiovascularHeart, skeletalSpine, skinNailsHairHair
NPHP3	MECKEL SYNDROME, TYPE 7; MKS7 | RENAL-HEPATIC-PANCREATIC DYSPLASIA 1; RHPD1 | NEPHRONOPHTHISIS 3; NPHP3	AR	prenatalManifestationsAmnioticFluid, genitourinary, cardiovascularVascular, genitourinaryKidneys, abdomenGastrointestinal, cardiovascularHeart, abdomenBiliaryTract, abdomen, abdomenPancreas, headAndNeckFace, abdomenLiver, neurologicCentralNervousSystem, genitourinaryUreters, abdomenSpleen, laboratoryAbnormalities, respiratoryLung, metabolicFeatures
SC5D	LATHOSTEROLOSIS	AR	genitourinaryKidneys, headAndNeckEars, skeletalFeet, abdomenBiliaryTract, hematology, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, abdomenLiver, headAndNeckHead, neurologicCentralNervousSystem, skeletal, headAndNeckMouth, skeletalSpine
NPHP1	SENIOR-LOKEN SYNDROME 1; SLSN1 | NEPHRONOPHTHISIS 1; NPHP1 | JOUBERT SYNDROME 4; JBTS4	AR	growthOther, neurologicCentralNervousSystem, genitourinaryKidneys, hematology, headAndNeckEyes, laboratoryAbnormalities, metabolicFeatures
NDUFAF6	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 17; MC1DN17 | LEIGH SYNDROME; LS	AR	growthOther, neurologicCentralNervousSystem, skeletalFeet, respiratory, headAndNeckEyes, laboratoryAbnormalities, skeletalSpine, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, skinNailsHairHair, metabolicFeatures
NDUFAF1	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 11; MC1DN11 | MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 1; MC1DN1	AR	growthOther, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, abdomenLiver, respiratory, headAndNeckEyes, laboratoryAbnormalities, neurologicCentralNervousSystem, skeletal, headAndNeckEars, skeletalSpine, muscleSoftTissue, metabolicFeatures
NDUFAF3	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 1; MC1DN1 | MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 18; MC1DN18	AR	growthOther, genitourinaryKidneys, abdomenGastrointestinal, headAndNeckEars, abdomenLiver, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, headAndNeckHead, respiratory, cardiovascularHeart, genitourinaryUreters, muscleSoftTissue, metabolicFeatures
FKTN	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 4; MDDGA4 | CARDIOMYOPATHY, DILATED, 1X; CMD1X | MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITHOUT MENTAL RETARDATION), TYPE B, 4; MDDGB4 | MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 4; MDDGC4	AR	respiratory, cardiovascularHeart, skeletal, chestExternalFeatures, neurologicPeripheralNervousSystem, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, skeletalSpine, muscleSoftTissue, skeletalFeet
IL1RAPL1	MENTAL RETARDATION, X-LINKED 21; MRX21	XLR	neurologicCentralNervousSystem, headAndNeckEars, skeletal, headAndNeckMouth, headAndNeckTeeth, headAndNeckFace, headAndNeckNose, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations
IGF2R	HEPATOCELLULAR CARCINOMA	Somatic mutation	abdomenLiver, neoplasia, laboratoryAbnormalities
CTH	CYSTATHIONINURIA	AR	laboratoryAbnormalities, neurologic
E2T	FANCONI ANEMIA, COMPLEMENTATION GROUP T; FANCT	AR	skeletalHands, neoplasia, laboratoryAbnormalities, growthHeight, hematology, skeletalLimbs
SPART	SPASTIC PARAPLEGIA 20, AUTOSOMAL RECESSIVE; SPG20	AR	neurologicCentralNervousSystem, skeletalFeet, growthHeight, headAndNeckMouth, headAndNeckFace, skeletalHands, headAndNeckEyes, skeletalSpine, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, skeletalLimbs
GDAP1	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, WITH VOCAL CORD PARESIS, AUTOSOMAL RECESSIVE | CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE A; CMTRIA | CHARCOT-MARIE-TOOTH DISEASE, TYPE 4A; CMT4A | CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2K; CMT2K	AR	skeletal, skeletalFeet, skeletalSpine, neurologicPeripheralNervousSystem, skeletalHands, neurologic, voice
GPT2	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 49; MRT49	AR	growthOther, neurologicCentralNervousSystem, headAndNeckHead, laboratoryAbnormalities, muscleSoftTissue, headAndNeckMouth
ARF1	PERIVENTRICULAR NODULAR HETEROTOPIA 8; PVNH8	AD	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, headAndNeckHead
FYCO1	CATARACT 18; CTRCT18	AR	headAndNeckEyes
BLM	BLOOM SYNDROME; BLM	AR	skinNailsHairSkin, growthOther, headAndNeckHead, headAndNeckEars, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, neoplasia, laboratoryAbnormalities, respiratoryLung, neurologicCentralNervousSystem, immunology, endocrineFeatures, genitourinaryInternalGenitaliaMale, headAndNeckTeeth, voice, respiratoryAirways, genitourinaryInternalGenitaliaFemale
SPARC	OSTEOGENESIS IMPERFECTA, TYPE XVII; OI17	AR	skinNailsHairSkin, neurologicCentralNervousSystem, headAndNeckEars, skeletal, growthHeight, headAndNeckTeeth, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, skeletalSpine, muscleSoftTissue, skeletalLimbs
